MAIN_BAS,area,nodes
1070001370,11678.5,9
1070001510,42400.1,17
1070002760,63986.6,33
1070006850,28619.4,9
1070007000,14537.0,10
1070007260,64696.7,25
1070008100,745374.3,333
1070008130,10768.9,9
1070008150,11220.5,9
1070008360,9800.8,9
1070008470,95248.8,33
1070008570,38448.4,18
1070009010,40483.5,19
1070009130,41560.9,10
1070009170,17615.2,9
1070009450,177136.2,60
1070009660,16768.2,9
1070009800,17134.3,9
1070010030,155316.4,73
1070010290,24704.7,9
1070010400,10303.5,9
1070010590,61392.7,25
1070010730,9460.8,9
1070011120,10247.8,9
1070011180,14851.3,9
1070011420,23075.3,9
1070011500,19105.2,9
1070011660,1378121.1,641
1070011960,31022.0,17
1070012020,28572.1,9
1070012210,102590.7,33
1070012540,14760.3,10
1070012590,407139.0,186
1070012680,46725.6,25
1070012810,30280.4,17
1070013070,29195.9,9
1070013640,19902.7,9
1070013950,20521.1,9
1070014220,30263.2,9
1070014370,21324.0,9
1070014490,34805.2,17
1070014920,45082.3,25
1070015560,46363.8,25
1070015720,9915.5,9
1070015850,884883.1,466
1070016760,16814.7,9
1070016850,29452.0,9
1070017350,29440.2,9
1070017390,16730.0,9
1070017690,15906.7,9
1070017790,15123.5,9
1070018120,108943.0,33
1070018310,19893.5,9
1070018410,10720.1,9
1070018860,15673.8,9
1070019010,16712.7,9
1070019180,22908.3,9
1070019270,22892.3,9
1070019420,150086.5,65
1070019510,11025.6,9
1070019540,11444.2,9
1070019670,13489.2,9
1070019800,19509.5,9
1070020040,3705301.8,1289
1070020240,59760.5,33
1070020420,25075.3,9
1070020520,9070.2,9
1070020570,215217.5,113
1070021220,13559.5,9
1070021340,30962.8,9
1070021440,27887.0,9
1070021500,133624.4,49
1070021620,12236.0,9
1070021910,52698.7,17
1070022420,2098663.8,989
1070022910,14099.3,9
1070023020,48394.1,25
1070023050,59907.9,33
1070023130,24089.2,9
1070023300,412648.8,153
1070023660,23186.6,9
1070023840,28153.1,9
1070023890,83109.0,49
1070023950,99252.9,41
1070024070,75334.5,41
1070024310,29623.1,9
1070024680,12784.9,9
1070024770,16227.5,9
1070024870,20407.4,9
1070025000,19649.5,9
1070025050,18539.2,9
1070025450,18627.3,9
1070025690,16802.9,9
1070026210,24399.9,9
1070026230,12359.6,9
1070026610,14867.3,9
1070026800,72617.0,41
1070027020,32922.5,9
1070027410,443989.5,213
1070027440,11609.0,14
1070027630,21551.4,9
1070027830,26121.4,19
1070027920,27695.4,9
1070028700,69516.2,33
1070028960,94290.0,34
1070029200,17292.5,9
1070029350,20121.3,9
1070029430,35399.7,10
1070029700,37813.3,17
