"river name","area","nodes"
"Agneby",8451.05948426,544
"Ankobra",8442.05505778,619
"Bia",10113.7281402,588
"Boubo",4805.19884427,283
"Densu",2703.9821756,133
"Decoris",541.766940186,77
"Farmington",5064.18666495,928
"Kunene",19826.7032756,955
"Osun",9811.96883412,806
"Lagune.Ebrie",3288.30783121,179
"Lagos.Lagoon",1702.29276013,156
"Lake.Saint.Lucia",9406.45928459,439
"Lekki.Lagoon",2386.87945602,125
"Me",4141.46757733,315
"Dodo",754.921827805,100
"Ona",4406.11013895,417
"Oueme",1316.72611449,68
"Mfolozi",10206.0066677,467
"Rio.Molocue",6245.41051812,319
"Ruvu.River",17680.4303718,765
"Rio.Melela",8313.79461101,453
"Bero",11104.7538476,518
"Hoarusib",15104.5671475,751
"Umbuluzi.River",5493.09480364,243
"Shiloango",13121.9750289,629
"Yewa",4756.88094854,279
"Kouffo",3700.41632451,187
"Lokoundje",5541.00447224,733
"Sehnkwehn.River",5787.11939444,960
"Kwa.Ibo",3791.07346615,568
"Dibamba",3485.32931222,446
"Calabar.River",1629.83871044,306
"Great.Kwa.River",1852.40866897,367
"Meme",2011.51076147,313
"Lobe",2295.74931011,383
"Loubi",3554.49069052,185
"Mafa.River",1353.01958193,212
"Kienke",1430.42849046,228
"Nero",1275.62397019,150
"Tabou",899.26959165,96
"Brimay",1186.82480454,96
"Rio.Ecuco",907.995012809,77
"Rio.Ue",324.617420579,30
"Buffalo.River",1298.02890131,64
"Kosi.River",567.631234129,30
"Waanje",4460.54081017,819
"Ebe",2433.60120971,469
"San.Pedro.Ivory.Coast",3369.98594498,307
"Soumba",474.215718327,103
"Tano",16079.3431435,915
"uMngeni",4468.90890157,212
"Zio",7264.04819131,410
"Bunce.River",435.983398614,10
"Bagru",2841.13438569,586
"Bofon",2161.17609155,303
"Casamance",19518.7154563,742
"Geba",12914.3293143,833
"Lagune.Aby",2036.33460198,126
"Buhayrat.Maryut",1766.5963132,65
"Mhlatuze",4096.84302989,182
"Todje",3686.07866129,157
"Ndian",3680.18251343,255
"Ichkeul",2775.68796065,102
"El.Madene",912.86009326,42
"El.Kebir.Annaba",2196.72436596,98
"Sebaou",2505.47977833,130
"El.Kebir.Tabarka",2763.32878152,132
"Miliane",2378.87655136,117
"El.Harrach",1098.33989912,56
"Soummam",9196.83078383,470
"Agrioun",935.093939036,46
"Tensift",20496.2727785,955
"Kasab",1734.38075677,81
"Fumm.Buhayrat.al.Manzalah",1172.13560766,28
"Sous",17401.8778029,794
"Noun",6850.03470269,336
"Sebkhet.Te.n.Dghamcha",100811.031981,948
"Khawr.Arba.at",4720.22326855,213
"Allahein.River",527.830059517,28
"Ribi",987.122993142,234
"Lake.Piso",886.364577718,68
"Ologe.Lagoon",1555.5766834,100
"Keta.Lagoon",1779.97990196,26
"Go",2229.47275964,123
"Dodowa",709.713329854,40
"Kakum",773.317717639,20
"Lagune.Tadjo",579.242356248,22
"Amansuri",872.367602284,28
"Butre",429.696426282,26
"Limbe.River",323.164150356,23
"Kisiwani",667.574279495,20
"Mwena",832.051437079,24
"Sigi.River",1118.44213086,64
"Lokoho",2229.68525184,302
"Giraul",4863.41018301,216
"Rio.Larde",2358.03098087,118
"Rio.Moebase",297.317127689,11
"Ivondro",3626.7189063,619
"Mananjary",7041.8827446,714
"Kuiseb",23502.5609255,754
"Futana",2216.718317,112
"Mkomazi",4434.64333522,183
"Mzimkulu",6726.53884146,288
"Mpambanyoni",547.366537316,24
"Mtata",2613.33781302,131
"Langvlei",777.412648813,32
"Verlorenvlei",1922.68408046,104
"Kei",2850.40483016,119
"Berg",8093.08417921,402
"Nahoon.River",593.809470122,32
"Boesmansrivier",2741.75571293,113
"Breede",12516.1305448,616
"Kowie.River",761.742538414,36
"Kariegarivier",669.16311653,20
"Coegarivier",498.753295692,28
"Swartkopsrivier",1267.17393424,56
"Keurbooms",1120.5977124,64
"Knysnarivier",389.417860463,20
"Eersterivier",628.618934781,30
"Klein.Brakrivier",565.462834348,32
"Duiwenhoks",1206.63914872,54
"Goukou",1383.74772784,51
"Horton",14902.7435323,555
"Kongakut",3886.1607355,168
"Wood",3093.84614747,260
"Alagnak",426.299763646,12
"Aghnashini",1374.55457303,286
"Amba",900.28717,249
"An.Lao",1388.85571731,219
"Ancharakandi",369.894383247,80
"Andella.Oya",537.057988006,48
"Anseongcheon",1449.67960304,131
"Aojiang",1290.60832847,117
"Aruvi.Aru",3331.3552342,206
"Attanagalu.Oya",804.617007091,105
"Bedti",3870.25474254,520
"Beilun.He",842.069529736,117
"Beimenjiang",674.038402167,81
"Ben.Hai",897.926590826,139
"Bentota.Ganga",669.793842732,109
"Benut",598.139622524,95
"Bernam",2588.9785488,361
"Biliu.He",2777.13504484,142
"Bolgoda.lake",236.729896344,42
"Cai",1905.94293202,207
"Chaliyar",2970.55056747,469
"Chandragiri",1325.0617067,316
"Changhuajiang",5026.73114628,499
"Chantaburi",1376.72301815,210
"Chengianjiang",5178.4047075,501
"Chimjin",494.670179623,38
"Chongup",809.193342013,42
"Choshui",3269.14794709,517
"Dafeng",1357.96921038,206
"Dai.Giang",2467.82777333,368
"Dayang.He",6122.79244752,290
"Deduru.Oya",2834.34089181,246
"Endau",4448.02570409,678
"Fangcheng",768.232130686,117
"Fenny",3787.4495839,711
"Gal.Oya",1957.52573307,144
"Giang",3038.88053368,399
"Gin.Ganga",923.62439835,127
"Golok",1482.56617817,228
"Gombak",1245.94635191,175
"Han.Korea",8066.09482923,683
"Heda.Oya",625.561133185,44
"Hengjiang",320.181635463,43
"Houlong",533.939124509,69
"Hsiukuluan",1785.78146816,326
"Hu",477.368952204,42
"Huong",1703.14553254,327
"Huongsan",1146.03068491,82
"Hwalien",1703.79924248,145
"Ibo",803.637571068,80
"Isa",364.745775241,38
"Ithikkara",625.700013937,94
"Jiaodong.He",6288.88047279,321
"Jiuojiang",6356.09602636,719
"Johore",1840.36957199,306
"Kadalundi",1192.533189,195
"Kala.Oya",2861.35455198,194
"Kalagamu.Oya",313.061081227,26
"Kallayi",296.975651272,36
"Kalu.Ganga",2929.73753935,367
"Kanakarayan.Aru",769.372999022,45
"Kantalai.basin",442.415158473,36
"Kaoping",3249.2563215,469
"Karambalan.Oya",623.875613471,46
